,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_category,hum_category,windspeed_category,atemp_category,time_category
0,1,2011-01-01,1,0,1,0,0,6,0,1,9.84,14.395,81.0,0.0,3,13,16,cold,very high,Calm,cold,night
1,2,2011-01-01,1,0,1,1,0,6,0,1,9.02,13.635,80.0,0.0,8,32,40,cold,high,Calm,cold,night
2,3,2011-01-01,1,0,1,2,0,6,0,1,9.02,13.635,80.0,0.0,5,27,32,cold,high,Calm,cold,night
3,4,2011-01-01,1,0,1,3,0,6,0,1,9.84,14.395,75.0,0.0,3,10,13,cold,high,Calm,cold,night
4,5,2011-01-01,1,0,1,4,0,6,0,1,9.84,14.395,75.0,0.0,0,1,1,cold,high,Calm,cold,night
5,6,2011-01-01,1,0,1,5,0,6,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,cold,high,Light breeze,cold,night
6,7,2011-01-01,1,0,1,6,0,6,0,1,9.02,13.635,80.0,0.0,2,0,2,cold,high,Calm,cold,morning
7,8,2011-01-01,1,0,1,7,0,6,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,cold,very high,Calm,cold,morning
8,9,2011-01-01,1,0,1,8,0,6,0,1,9.84,14.395,75.0,0.0,1,7,8,cold,high,Calm,cold,morning
9,10,2011-01-01,1,0,1,9,0,6,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,cold,high,Calm,cool,morning
10,11,2011-01-01,1,0,1,10,0,6,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,cool,high,Gentle breeze,cool,morning
11,12,2011-01-01,1,0,1,11,0,6,0,1,14.76,16.665,81.0,19.0012,26,30,56,cold,very high,Gentle breeze,cool,morning
12,13,2011-01-01,1,0,1,12,0,6,0,1,17.22,21.21,77.0,19.0012,29,55,84,cool,high,Gentle breeze,cool,noon
13,14,2011-01-01,1,0,1,13,0,6,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,cool,high,Gentle breeze,cool,afternoon
14,15,2011-01-01,1,0,1,14,0,6,0,2,18.86,22.725,72.0,19.0012,35,71,106,cool,high,Gentle breeze,cool,afternoon
15,16,2011-01-01,1,0,1,15,0,6,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,cool,high,Gentle breeze,cool,afternoon
16,17,2011-01-01,1,0,1,16,0,6,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,cool,very high,Gentle breeze,cool,afternoon
17,18,2011-01-01,1,0,1,17,0,6,0,2,18.04,21.97,82.0,19.0012,15,52,67,cool,very high,Gentle breeze,cool,afternoon
18,19,2011-01-01,1,0,1,18,0,6,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,cool,very high,Gentle breeze,cool,evening
19,20,2011-01-01,1,0,1,19,0,6,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,cool,very high,Gentle breeze,cool,evening
20,21,2011-01-01,1,0,1,20,0,6,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,cool,very high,Gentle breeze,cool,evening
21,22,2011-01-01,1,0,1,21,0,6,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,cool,very high,Gentle breeze,cool,night
22,23,2011-01-01,1,0,1,22,0,6,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,cool,very high,Gentle breeze,cool,night
23,24,2011-01-01,1,0,1,23,0,6,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,cool,very high,Gentle breeze,cool,night
24,25,2011-01-02,1,0,1,0,0,0,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,cool,very high,Gentle breeze,cool,night
25,26,2011-01-02,1,0,1,1,0,0,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,cool,very high,Gentle breeze,cool,night
26,27,2011-01-02,1,0,1,2,0,0,0,2,17.22,21.21,100.0,19.0012,1,8,9,cool,very high,Gentle breeze,cool,night
27,28,2011-01-02,1,0,1,3,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,cool,very high,Gentle breeze,cool,night
28,29,2011-01-02,1,0,1,4,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,cool,very high,Gentle breeze,cool,night
29,30,2011-01-02,1,0,1,6,0,0,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,cool,high,Gentle breeze,cool,morning
30,31,2011-01-02,1,0,1,7,0,0,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,cool,high,Gentle breeze,cool,morning
31,32,2011-01-02,1,0,1,8,0,0,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,cool,high,Gentle breeze,cool,morning
32,33,2011-01-02,1,0,1,9,0,0,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,cool,high,Gentle breeze,cool,morning
33,34,2011-01-02,1,0,1,10,0,0,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,cold,very high,Gentle breeze,cool,morning
34,35,2011-01-02,1,0,1,11,0,0,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,cold,high,Gentle breeze,cool,morning
35,36,2011-01-02,1,0,1,12,0,0,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,cold,high,Gentle breeze,cool,noon
36,37,2011-01-02,1,0,1,13,0,0,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,cold,high,Light breeze,cool,afternoon
37,38,2011-01-02,1,0,1,14,0,0,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,cold,high,Gentle breeze,cool,afternoon
38,39,2011-01-02,1,0,1,15,0,0,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,cold,very high,Light breeze,cool,afternoon
39,40,2011-01-02,1,0,1,16,0,0,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,cold,high,Light breeze,cool,afternoon
40,41,2011-01-02,1,0,1,17,0,0,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,cold,high,Gentle breeze,cool,afternoon
41,42,2011-01-02,1,0,1,18,0,0,0,2,14.76,16.665,46.0,22.0028,10,43,53,cold,low,Moderate breeze,cool,evening
42,43,2011-01-02,1,0,1,19,0,0,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,cold,low,Fresh breeze,cold,evening
43,44,2011-01-02,1,0,1,20,0,0,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,cold,low,Moderate breeze,cold,evening
44,45,2011-01-02,1,0,1,21,0,0,0,1,10.66,11.365,44.0,22.0028,11,20,31,cold,low,Moderate breeze,cold,night
45,46,2011-01-02,1,0,1,22,0,0,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,cold,low,Gentle breeze,cold,night
46,47,2011-01-02,1,0,1,23,0,0,0,1,9.02,11.365,47.0,11.0014,0,8,8,cold,low,Light breeze,cold,night
47,48,2011-01-03,1,0,1,0,0,1,1,1,9.02,9.85,44.0,23.9994,0,5,5,cold,low,Moderate breeze,cold,night
48,49,2011-01-03,1,0,1,1,0,1,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,cold,low,Moderate breeze,cold,night
49,50,2011-01-03,1,0,1,4,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,cold,low,Moderate breeze,cold,night
50,51,2011-01-03,1,0,1,5,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,cold,low,Gentle breeze,cold,night
51,52,2011-01-03,1,0,1,6,0,1,1,1,5.74,5.305,50.0,26.0027,0,30,30,cold,high,Moderate breeze,cold,morning
52,53,2011-01-03,1,0,1,7,0,1,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,cold,high,Gentle breeze,cold,morning
53,54,2011-01-03,1,0,1,8,0,1,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,cold,high,Gentle breeze,cold,morning
54,55,2011-01-03,1,0,1,9,0,1,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,cold,low,Moderate breeze,cold,morning
55,56,2011-01-03,1,0,1,10,0,1,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,cold,low,Gentle breeze,cold,morning
56,57,2011-01-03,1,0,1,11,0,1,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,cold,low,Moderate breeze,cold,morning
57,58,2011-01-03,1,0,1,12,0,1,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,cold,low,Gentle breeze,cold,noon
58,59,2011-01-03,1,0,1,13,0,1,1,1,9.84,10.605,35.0,19.0012,8,53,61,cold,low,Gentle breeze,cold,afternoon
59,60,2011-01-03,1,0,1,14,0,1,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,cold,low,Gentle breeze,cold,afternoon
60,61,2011-01-03,1,0,1,15,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,cold,low,Gentle breeze,cold,afternoon
61,62,2011-01-03,1,0,1,16,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,cold,low,Gentle breeze,cold,afternoon
62,63,2011-01-03,1,0,1,17,0,1,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,cold,low,Gentle breeze,cold,afternoon
